Date,Max Temperature (F),Min Temperature (F),Humidity (%),Weather,Description,Rainfall (mm),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Clouds (%)
07/29/2023 15:00:00,84.61,78.62,71,Clear,clear sky,0.0,1015,5.14,200,0
07/29/2023 16:00:00,84.61,78.04,73,Clear,clear sky,0.0,1014,5.66,190,0
07/29/2023 17:00:00,83.62,75.74,73,Clear,clear sky,0.0,1014,5.14,190,0
07/29/2023 18:00:00,83.62,77.61,75,Clear,clear sky,0.0,1014,7.2,190,0
07/29/2023 19:00:00,83.62,74.75,75,Clear,clear sky,0.0,1015,5.14,200,0
07/29/2023 20:00:00,83.62,74.75,78,Clouds,few clouds,0.0,1015,3.6,200,20
07/29/2023 21:00:00,85.59,75.74,76,Clouds,few clouds,0.0,1015,2.06,240,20
07/29/2023 22:00:00,87.55,81.25,72,Clouds,few clouds,0.0,1015,3.09,200,20
07/29/2023 23:00:00,91.58,83.05,66,Clouds,few clouds,0.0,1015,5.14,180,20
07/30/2023 00:00:00,93.78,86.67,63,Clouds,few clouds,0.0,1015,6.69,190,20
07/30/2023 01:00:00,95.59,88.66,56,Clouds,few clouds,0.0,1014,6.69,180,20
07/30/2023 02:00:00,96.8,91.02,54,Clouds,few clouds,0.0,1014,6.69,180,20
07/30/2023 03:00:00,99.59,93.54,47,Clear,clear sky,0.0,1013,1.34,112,1
07/30/2023 04:00:00,98.8,92.82,54,Clouds,few clouds,0.0,1013,8.23,180,20
07/30/2023 05:00:00,98.8,91.02,54,Clouds,few clouds,0.0,1012,8.75,180,20
07/30/2023 06:00:00,99.55,90.75,61,Clouds,few clouds,0.0,1013,9.26,180,20
07/30/2023 07:00:00,96.8,88.66,63,Clouds,few clouds,0.0,1011,9.77,180,20
07/30/2023 08:00:00,95.76,86.67,64,Clouds,few clouds,0.0,1011,10.29,180,20
07/30/2023 09:00:00,93.74,85.62,71,Clouds,few clouds,0.0,1011,9.77,180,20
07/30/2023 10:00:00,90.55,83.75,76,Clouds,scattered clouds,0.0,1012,9.77,180,40
07/30/2023 11:00:00,86.79,82.02,80,Clouds,scattered clouds,0.0,1013,8.23,180,40
07/30/2023 12:00:00,85.8,82.74,79,Clouds,scattered clouds,0.0,1013,7.72,180,40
07/30/2023 13:00:00,87.55,81.75,78,Clouds,few clouds,0.0,1013,7.72,180,20
07/30/2023 14:00:00,87.55,81.75,78,Clear,clear sky,0.0,1013,6.69,190,0
07/30/2023 15:00:00,84.79,81.75,79,Clouds,few clouds,0.0,1013,7.2,190,20
07/30/2023 16:00:00,85.62,81.61,79,Clear,clear sky,0.0,1013,7.2,190,0
07/30/2023 17:00:00,85.62,80.74,79,Clear,clear sky,0.0,1013,9.26,190,0
07/30/2023 18:00:00,85.62,80.62,80,Clear,clear sky,0.0,1013,6.69,200,0
07/30/2023 19:00:00,85.62,79.05,79,Clear,clear sky,0.0,1013,6.69,200,0
07/30/2023 20:00:00,84.61,78.75,80,Clouds,few clouds,0.0,1013,4.63,200,20
07/30/2023 21:00:00,85.62,78.75,77,Clouds,few clouds,0.0,1013,5.14,200,20
07/30/2023 22:00:00,88.56,82.74,72,Clouds,few clouds,0.0,1013,5.14,190,20
07/30/2023 23:00:00,91.54,86.25,68,Clouds,few clouds,0.0,1013,6.69,180,20
07/31/2023 00:00:00,93.58,89.26,63,Clouds,broken clouds,0.0,1013,6.69,200,75
07/31/2023 01:00:00,95.59,90.75,59,Clear,clear sky,0.0,1011,3.13,202,8
07/31/2023 02:00:00,98.58,89.22,57,Clouds,broken clouds,0.0,1012,7.72,190,75
07/31/2023 03:00:00,97.79,92.79,57,Clear,clear sky,0.0,1010,2.68,135,9
07/31/2023 04:00:00,97.79,91.02,53,Clouds,broken clouds,0.0,1011,9.26,190,75
07/31/2023 05:00:00,96.55,91.02,57,Clouds,broken clouds,0.0,1010,9.77,180,75
07/31/2023 06:00:00,98.55,90.79,50,Clouds,scattered clouds,0.0,1008,3.13,209,42
07/31/2023 07:00:00,96.55,87.42,64,Clouds,broken clouds,0.0,1011,10.29,180,75
07/31/2023 08:00:00,93.79,86.76,63,Clouds,broken clouds,0.0,1009,9.26,180,75
07/31/2023 09:00:00,90.79,85.78,65,Clouds,overcast clouds,0.0,1008,3.13,164,94
07/31/2023 10:00:00,89.55,83.75,71,Clouds,broken clouds,0.0,1010,8.75,180,75
07/31/2023 11:00:00,88.56,82.74,76,Clouds,broken clouds,0.0,1011,6.69,180,75
07/31/2023 12:00:00,85.8,81.75,77,Clouds,broken clouds,0.0,1011,7.72,180,75
07/31/2023 13:00:00,85.59,81.66,80,Clouds,broken clouds,0.0,1011,6.69,190,75
07/31/2023 14:00:00,85.59,82.74,77,Clouds,broken clouds,0.0,1011,6.17,190,75
07/31/2023 15:00:00,85.59,82.74,77,Clouds,broken clouds,0.0,1011,6.69,190,75
07/31/2023 16:00:00,84.79,82.74,76,Clouds,broken clouds,0.0,1011,6.17,190,75
07/31/2023 17:00:00,84.79,81.75,76,Rain,light rain,0.42,1011,6.17,190,75
07/31/2023 18:00:00,83.82,78.75,81,Thunderstorm,thunderstorm with light rain,0.21,1011,4.12,240,75
07/31/2023 19:00:00,82.78,79.5,87,Thunderstorm,thunderstorm,2.04,1011,6.69,240,75
07/31/2023 20:00:00,82.62,78.42,90,Rain,light intensity shower rain,0.69,1011,1.54,0,75
07/31/2023 21:00:00,83.62,78.75,87,Rain,light rain,0.65,1012,4.63,240,75
07/31/2023 22:00:00,81.81,77.76,88,Rain,moderate rain,1.22,1012,1.54,300,75
07/31/2023 23:00:00,85.59,80.74,82,Clouds,broken clouds,0.0,1012,3.6,160,75
08/01/2023 00:00:00,87.58,81.95,75,Rain,light rain,0.73,1012,2.57,210,75
08/01/2023 01:00:00,90.59,83.66,72,Clouds,broken clouds,0.0,1012,2.06,80,75
08/01/2023 02:00:00,91.54,85.55,70,Clouds,broken clouds,0.0,1013,4.12,130,75
08/01/2023 03:00:00,90.79,81.59,67,Clouds,broken clouds,0.0,1012,3.09,160,75
08/01/2023 04:00:00,89.13,80.15,66,Thunderstorm,thunderstorm,35.79,1013,9.77,60,75
08/01/2023 05:00:00,82.54,75.06,77,Thunderstorm,thunderstorm,0.27,1012,9.77,80,75
08/01/2023 06:00:00,79.63,74.82,88,Thunderstorm,thunderstorm,1.33,1013,8.75,170,75
08/01/2023 07:00:00,78.42,76.55,78,Rain,light intensity shower rain,1.54,1012,4.63,180,75
08/01/2023 08:00:00,86.56,76.62,69,Clouds,broken clouds,0.0,1010,4.63,300,75
08/01/2023 09:00:00,81.79,77.67,72,Clouds,broken clouds,0.0,1011,1.03,0,75
08/01/2023 10:00:00,81.64,77.67,72,Clouds,broken clouds,0.0,1011,2.06,160,75
08/01/2023 11:00:00,81.63,78.8,73,Rain,light intensity shower rain,0.33,1011,5.14,160,75
08/01/2023 12:00:00,82.62,77.79,77,Clouds,broken clouds,0.0,1011,5.14,200,75
08/01/2023 13:00:00,81.63,76.6,80,Clouds,broken clouds,0.0,1011,5.14,190,75
08/01/2023 14:00:00,83.55,78.55,80,Clouds,broken clouds,0.0,1011,4.12,220,75
08/01/2023 15:00:00,82.54,76.05,83,Clouds,scattered clouds,0.0,1011,3.09,190,40
08/01/2023 16:00:00,81.55,77.79,83,Clouds,broken clouds,0.0,1010,3.6,200,75
08/01/2023 17:00:00,81.55,77.56,83,Clouds,scattered clouds,0.0,1010,3.6,200,40
08/01/2023 18:00:00,81.55,76.8,86,Clouds,few clouds,0.0,1010,5.14,200,20
08/01/2023 19:00:00,82.54,72.75,87,Clouds,scattered clouds,0.0,1010,3.6,230,40
08/01/2023 20:00:00,81.55,72.05,86,Clouds,broken clouds,0.0,1010,1.54,270,75
08/01/2023 21:00:00,81.63,76.8,82,Clouds,broken clouds,0.0,1010,2.06,200,75
08/01/2023 22:00:00,83.62,76.78,79,Clouds,broken clouds,0.0,1010,3.09,190,75
08/01/2023 23:00:00,85.62,79.25,77,Clouds,broken clouds,0.0,1011,5.14,200,75
08/02/2023 00:00:00,87.78,83.61,70,Clouds,scattered clouds,0.0,1012,4.12,190,40
08/02/2023 01:00:00,90.79,86.56,62,Clouds,scattered clouds,0.0,1010,5.66,170,40
08/02/2023 02:00:00,94.59,89.22,58,Clouds,scattered clouds,0.0,1010,6.69,170,40
08/02/2023 03:00:00,95.79,90.75,59,Clouds,few clouds,0.0,1009,8.23,170,20
08/02/2023 04:00:00,96.58,89.22,58,Clouds,few clouds,0.0,1008,9.77,180,20
08/02/2023 05:00:00,96.8,88.66,62,Clouds,few clouds,0.0,1008,9.26,180,20
08/02/2023 06:00:00,97.56,88.66,60,Clouds,few clouds,0.0,1007,8.75,180,20
08/02/2023 07:00:00,97.75,86.67,64,Clouds,few clouds,0.0,1008,11.32,190,20
08/02/2023 08:00:00,93.54,85.75,64,Clouds,scattered clouds,0.0,1008,10.8,190,40
08/02/2023 09:00:00,88.81,84.74,70,Clouds,scattered clouds,0.0,1008,10.8,190,40
08/02/2023 10:00:00,86.81,82.74,71,Clouds,broken clouds,0.0,1008,8.75,190,75
08/02/2023 11:00:00,85.8,80.74,77,Clouds,broken clouds,0.0,1008,8.75,180,75
08/02/2023 12:00:00,86.63,79.75,80,Clouds,scattered clouds,0.0,1009,9.26,180,40
08/02/2023 13:00:00,84.79,81.61,79,Clouds,scattered clouds,0.0,1009,7.72,180,40
08/02/2023 14:00:00,84.63,80.74,76,Clouds,broken clouds,0.0,1009,6.69,190,75
08/02/2023 15:00:00,84.63,80.62,74,Clouds,broken clouds,0.0,1009,7.2,190,75
08/02/2023 16:00:00,84.63,77.76,76,Clouds,broken clouds,0.0,1009,7.2,190,75
08/02/2023 17:00:00,83.64,77.76,76,Clouds,scattered clouds,0.0,1008,7.2,190,40
08/02/2023 18:00:00,84.61,76.75,77,Clouds,scattered clouds,0.0,1008,7.72,190,40
08/02/2023 19:00:00,85.55,75.74,77,Clouds,scattered clouds,0.0,1008,6.69,190,40
08/02/2023 20:00:00,85.55,75.61,78,Clouds,scattered clouds,0.0,1009,5.66,190,40
08/02/2023 21:00:00,85.55,77.61,78,Clouds,few clouds,0.0,1009,5.66,190,20
08/02/2023 22:00:00,86.79,80.26,72,Clouds,few clouds,0.0,1009,6.17,190,20
08/02/2023 23:00:00,90.61,83.75,69,Clouds,few clouds,0.0,1009,6.17,190,20
08/03/2023 00:00:00,91.54,87.26,63,Clouds,scattered clouds,0.0,1010,6.69,180,40
08/03/2023 01:00:00,94.55,89.55,57,Clouds,few clouds,0.0,1009,7.2,180,20
08/03/2023 02:00:00,94.8,90.05,59,Clouds,few clouds,0.0,1008,8.23,180,20
08/03/2023 03:00:00,96.58,90.95,54,Clear,clear sky,0.0,1007,1.79,117,6
08/03/2023 04:00:00,96.58,89.22,56,Clouds,scattered clouds,0.0,1007,10.29,180,40
08/03/2023 05:00:00,97.59,88.75,58,Clouds,scattered clouds,0.0,1007,9.77,180,40
08/03/2023 06:00:00,95.76,88.75,58,Clouds,scattered clouds,0.0,1006,9.77,180,40
08/03/2023 07:00:00,96.58,87.33,58,Clouds,few clouds,0.0,1006,9.26,190,20
08/03/2023 08:00:00,94.55,86.67,64,Clouds,few clouds,0.0,1006,9.26,190,20
08/03/2023 09:00:00,90.75,85.62,66,Clouds,few clouds,0.0,1006,8.23,190,20
